id,name
124103514,Senior Angular Frontend Developer
123876026,"Junior Data Scientist, Отдел сопровождения проектов ИИ"
123896181,"Intern, Data Science"
124106955,Data scientist (junior +/middle)
124082449,Junior Data Scientist
124091792,Junior Data Scientist
123943372,Data Scientist
124101320,ML Engineer
124028435,IT-рекрутер
124101858,Бизнес-аналитик Senior
124029851,Специалист тендерного отдела (IT\Аутстафф)
124073102,Java-разработчик (Middle) для банка
123979467,Младший разработчик С# (Junior/Junior+)
121370571,Data Scientist / ML Engineer
123983412,Unity-разработчик (Junior/Junior+)
123441557,Data Scientist
123883964,Руководитель проектов IT (РП / Project Manager)
123469364,ML engineer (NLP & LLM)
124124181,Python Developer/backend
124037730,Data Scientist
124065257,DevOps-инженер | Based in Almaty or open to relocate
123518480,Python-разработчик
123736003,ML-инженер (Junior Data Scientist)
124062836,ИТ-рекрутер
123953248,Программист 1С
121949184,ML-инженер
124025697,Дизайнер
123930667,Machine Learning engineer (Python)
124026312,Junior CV инженер (data scientist)
123938688,Recruiter
123885160,ML/AI Разработчик
123985648,Fullstack разработчик (fullstack developer)
124118694,Data scientist (модели HR)
123938355,Data Scientist (Анализ цены)
123366738,Data Scientist
123879338,Руководитель направления по администрированию контрактов
124110642,Middle Rust-разработчик
123506211,AI engineer
123944487,UI/UX Дизайнер
123900923,Аналитик
123225356,Асессор поисковых запросов
124023081,Middle Data Analyst / Data Scientist
123955887,QA Engineer (автотестирование)
124066232,Руководитель группы продаж b2c
123484931,Engineering Manager / Team Lead
122940580,Ведущий разработчик искусственного интеллекта/Middle Data scientist
123831189,Data Scientist/ML-Аналитик
123883934,Менеджер по продажам в IT
123043889,Системный аналитик (Junior+)
123918645,ML engineer / Data scientist
123941683,Founding AI Engineer
123872727,"ML инженер, Data scientist"
123899750,Data Engineer
124065994,ML-специалист (Machine Learning Engineer / Data Scientist)
123883633,Аналитик-разработчик Power BI
123905331,Креатор видеоконтента / Специалист по видеопроизводству
123764322,Менеджер проектов
123671848,Data Scientist
124070575,Руководитель отдела системного администрирования и технической поддержки
124011923,Бизнес - аналитик (в команду BI)
123682322,QA-инженер
124077452,Специалист по работе с данными | Лидерская программа
122954341,Python/ML Engineer
123672652,Системный администратор (стажёр)
124119703,Data scientist Geospatial Analyst
123876687,"Data Engineer, Отдел сопровождения проектов ИИ"
123935132,ML Engineer (Computer Vision)
123981102,Инженер по информационной безопасности
124019342,Data Scientist Middle
123883806,ML Engineer
123311720,Electronics System Engineer Инженер по электронным системам
124112052,Аналитик данных/Data Scientist
124101461,AI специалист по оптимизации процессов
123811198,ML-инженер
124032083,Менеджер KPI
124027508,Python-разработчик в команду ИИ для сотрудников
123571761,Trainee Frontend Developer
123615509,B2B Менеджер по продажам / Outreach Sales
123524554,Тестировщик ПО/QA-инженер
123318628,SQL-разработчик (Senior)
124115166,Data Scientist / ML Engineer
123982805,Data Analytic
123981859,Специалист по внедрению ИИ
124062417,Data analyst
117558942,Junior Data Scientist
124084971,"Data scientist / ML-инженер (NLP, LLM)"
124086483,Продуктовый Аналитик
123894511,.NET Developer
124064647,Аналитик продаж
123882420,Trainee Python Developer
122948356,Backend-разработчик (Python)
123844743,Инженер по нейросетям / ML-инженер
123506730,Биоинформатик (junior)
123884001,Старший backend-разработчик (Python) в AHUB:AI
123166506,Младший аналитик данных // Junior data analyst
123885000,ML-инженер (OCR)
124075597,Middle Product Manager (Портал «Рамблер»)
123845447,ML Engineer
123873779,Ведущий специалист
123557335,Data Scientist (математическое моделирование)
123505974,Data Scientist (NLP)
122811473,ML Engineer (Стажер)
122183818,Инженер данных/ Data Scientist /Data engineer
120982880,AI-инженер
123509957,Data Scientist
123884458,Специалист по работе с исполнительным производством
121152496,Data Scientist (ML)
