id,name
123876026,"Junior Data Scientist, Отдел сопровождения проектов ИИ"
123896181,"Intern, Data Science"
124106955,Data scientist (junior +/middle)
124082449,Junior Data Scientist
124091792,Junior Data Scientist
123943372,Data Scientist
124101320,ML Engineer
121370571,Data Scientist / ML Engineer
123441557,Data Scientist
123469364,ML engineer (NLP & LLM)
124037730,Data Scientist
123736003,ML-инженер (Junior Data Scientist)
121949184,ML-инженер
123930667,Machine Learning engineer (Python)
124026312,Junior CV инженер (data scientist)
124118694,Data scientist (модели HR)
123938355,Data Scientist (Анализ цены)
123366738,Data Scientist
123506211,AI engineer
124023081,Middle Data Analyst / Data Scientist
122940580,Ведущий разработчик искусственного интеллекта/Middle Data scientist
123831189,Data Scientist/ML-Аналитик
123918645,ML engineer / Data scientist
123941683,Founding AI Engineer
123872727,"ML инженер, Data scientist"
124065994,ML-специалист (Machine Learning Engineer / Data Scientist)
123671848,Data Scientist
122954341,Python/ML Engineer
124119703,Data scientist Geospatial Analyst
123935132,ML Engineer (Computer Vision)
124019342,Data Scientist Middle
123883806,ML Engineer
124112052,Аналитик данных/Data Scientist
123811198,ML-инженер
124115166,Data Scientist / ML Engineer
117558942,Junior Data Scientist
124084971,"Data scientist / ML-инженер (NLP, LLM)"
123844743,Инженер по нейросетям / ML-инженер
123166506,Младший аналитик данных // Junior data analyst
123885000,ML-инженер (OCR)
123845447,ML Engineer
123557335,Data Scientist (математическое моделирование)
123505974,Data Scientist (NLP)
122811473,ML Engineer (Стажер)
122183818,Инженер данных/ Data Scientist /Data engineer
123509957,Data Scientist
121152496,Data Scientist (ML)
123662686,ML Engineer
123838579,Junior ML engineer
123864147,ML-инженер
123361988,ML-инженер
123698460,ML Engineer
123874813,R&D AI Engineer
124048870,Senior ML Engineer в немецкую компанию
124090260,"Data Scientist (NLP, RAG)"
123898657,Middle аналитик данных
123734159,ML-инженер
123148737,Junior Machine Learning Engineer
120042242,ML Engineer (recommendations)
124031325,Специалист машинного обучения (Middle ML engineer)
124114434,Senior Data Scientist в команду NLP Search
124022860,Data Scientist (релокация)
122700474,Аналитик данных (команда Антифрод)
123405149,Data Scientist ( направление рекомендательных систем )
122489794,Data Scientist (стажер)
121747658,ML Engineer
123530937,Младший разработчик ML / Data science / Python (стажер)
124028846,"Data Scientist, ML Global"
123760759,Junior Аналитик данных
123763377,"Middle ML Engineer (Computer Vision & NLP, Python / Golang, on-premise)"
123616391,LLM / AI Engineer
124099260,Аналитик данных (Data Analyst)
123264557,Data Scientist Junior+
123849953,Data Scientist (стажер)
124126211,Computer Vision / AI Engineer
123954664,ML engineer
124082852,Стажер Data Scientist (классический ML)
123940062,ML-инженер
124028068,Data Scientist
124022411,Data Scientist
123837905,ML-инженер
124028489,Machine Learning специалист (Middle+/Senior)
123597485,ML-инженер (стажер)
124017248,CV инженер (data scientist)
124090846,ML-инженер
123814903,Junior ML Engineer
121091720,Intern Data Analyst / Стажер - аналитик данных
121787980,Стажер Data Science Новосибирск
124024592,Аналитик данных
121889490,"Data Scientist, Anti-Fraud, Ozon Bank"
123265550,ML-инженер
122972568,"Junior Data Scientist в команду ""Модели для поставок"""
123613186,Data Scientist
124120817,"Digital-маркетолог (контекст, таргетинг, data science)"
123570610,AI/ML разработчик
124118412,Python ML-инженер (LLM)
123359318,ML Engineer / Computer Vision (Python)
123909003,ML-инженер
124104813,ML-инженер (Middle)
123437095,ML Engineer
123876236,"Middle Data Scientist, Отдел сопровождения проектов ИИ"
