id,name
123648356,Junior Frontend разработчик
124075437,Frontend-разработчик
123942088,IT специалист / разработчик
124079548,Middle/Senior Frontend разработчик (React)
124100119,Frontend-разработчик в социальный EdTech
124061430,Frontend Разработчик ( Junior/Middle )
123935483,Frontend-разработчик (Middle)
124063502,Frontend-разработчик
123896967,Senior Frontend-разработчик
124017085,Frontend разработчик
124019829,Frontend-разработчик
124116024,Senior Front-end Developer
122942520,Frontend-разработчик
123992250,Middle Frontend разработчик
124008076,Frontend разработчик (JS)
124051720,FrontEnd разработчик
123842102,Frontend-разработчик (Next.js / React)
123442042,Senior Frontend-разработчик
123981755,Frontend-разработчик (ВКС)
124014483,Frontend разработчик middle/middle+ (React + TypeScript)
124059450,React разработчик (Juniour/Juniour+)
124002122,Middle Frontend developer
123731243,Frontend-разработчик
124022134,Frontend-разработчик
124075444,Ведущий frontend-разработчик
124037289,Senior Frontend Developer
123356159,Frontend-разработчик (middle+)
123395156,Ведущий Frontend-разработчик на React
123230736,Frontend developer Middle+/Senior (AI project)
124080628,Senior Frontend Developer
122955364,Frontend-разработчик
124081634,Frontend-разработчик
123841236,Преподаватель Frontend
123920174,Frontend Developer
123544177,Frontend-разработчик
123897761,"Middle Frontend-разработчик (Vue, React)"
123943137,"Middle Frontend - разработчик (React, TypeScript)"
124000602,Сreative Middle HTML-верстальщик (Frontend-разработчик)
123888300,Frontend-разработчик Middle
123226262,Frontend-разработчик (React)
123883877,Frontend-разработчик (React)
123337983,Frontend-разработчик
124016248,Senior Frontend Developer (web3)
123873003,Frontend React разработчик
123873065,Frontend-разработчик
123057921,"Frontend разработчик (React, TypeScript) (Middle+/Senior)"
124107693,Senior Frontend developer
123273902,Frontend разработчик
124107334,Senior frontend developer
123893505,Frontend-разработчик (IGaming)
123512172,"Frontend Developer (JavaScript, React, Typescript)"
124015818,Frontend-разработчик
123108021,Middle+/Senior Front-end разработчик
120596822,Front-end разработчик / Front-end developer
123894478,Frontend-разработчик
123495744,Frontend-разработчик
123895367,"Frontend-разработчик (Vue3, Typescript)"
123165350,Программист‑стажёр (Frontend / JavaScript)
123958130,Frontend разработчик
123325973,"Frontend-разработчик (React, Typescript)"
122318228,Frontend developer (React)
